Sales_Person,Country,Product,Total_Revenue,Total_Boxes,Total_Transactions,Revenue_Per_Box,Revenue_Per_Transaction
Gunar Cockshoot,Canada,Fruit & Nut Bars,13888,203,1,68.41379310344827,13888.0
Dennison Crosswaite,Australia,Baker's Choco Chips,13846,421,1,32.888361045130644,13846.0
Jan Morforth,India,Baker's Choco Chips,13727,79,1,173.7594936708861,13727.0
Van Tuxwell,India,After Nines,13706,207,1,66.21256038647343,13706.0
Jehu Rudeforth,Australia,Orange Choco,13706,26,1,527.1538461538462,13706.0
Jehu Rudeforth,UK,Peanut Butter Cubes,13685,184,1,74.375,13685.0
Oby Sorrel,UK,99% Dark & Pure,13685,176,1,77.75568181818181,13685.0
Van Tuxwell,Canada,50% Dark Bites,13685,58,1,235.94827586206895,13685.0
Dennison Crosswaite,India,Mint Chip Choco,13573,138,1,98.35507246376811,13573.0
Brien Boise,India,Milk Bars,13503,251,1,53.79681274900398,13503.0
Andria Kimpton,India,50% Dark Bites,13482,15,1,898.8,13482.0
Beverie Moffet,Canada,Baker's Choco Chips,13447,95,1,141.54736842105262,13447.0
Gunar Cockshoot,Canada,Spicy Special Slims,13405,12,1,1117.0833333333333,13405.0
Madelene Upcott,New Zealand,70% Dark Bites,13356,93,1,143.61290322580646,13356.0
Van Tuxwell,Australia,Baker's Choco Chips,13258,32,1,414.3125,13258.0
Marney O'Breen,Australia,Spicy Special Slims,13125,275,1,47.72727272727273,13125.0
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,13083,14,1,934.5,13083.0
Marney O'Breen,Australia,Manuka Honey Choco,13076,236,1,55.40677966101695,13076.0
Gunar Cockshoot,New Zealand,Choco Coated Almonds,13062,62,1,210.67741935483872,13062.0
Barr Faughny,USA,50% Dark Bites,13034,117,1,111.4017094017094,13034.0
Kelci Walkden,UK,Fruit & Nut Bars,13006,482,1,26.983402489626556,13006.0
Gunar Cockshoot,India,50% Dark Bites,12992,83,1,156.53012048192772,12992.0
Kaine Padly,New Zealand,Eclairs,12894,48,1,268.625,12894.0
Barr Faughny,USA,85% Dark Bars,12761,47,1,271.51063829787233,12761.0
Jan Morforth,Australia,Peanut Butter Cubes,12726,342,1,37.21052631578947,12726.0
Dennison Crosswaite,USA,Organic Choco Syrup,12656,126,1,100.44444444444444,12656.0
Roddy Speechley,UK,Raspberry Choco,12635,194,1,65.12886597938144,12635.0
Van Tuxwell,USA,99% Dark & Pure,12586,6,1,2097.6666666666665,12586.0
Curtice Advani,Canada,99% Dark & Pure,12586,7,1,1798.0,12586.0
Roddy Speechley,Australia,Drinking Coco,12565,102,1,123.18627450980392,12565.0
Madelene Upcott,New Zealand,Milk Bars,12558,403,1,31.161290322580644,12558.0
Brien Boise,Australia,Baker's Choco Chips,12516,212,1,59.0377358490566,12516.0
Gunar Cockshoot,UK,Spicy Special Slims,12488,200,1,62.44,12488.0
Camilla Castle,Canada,Drinking Coco,12481,264,1,47.27651515151515,12481.0
Rafaelita Blaksland,UK,99% Dark & Pure,12446,150,1,82.97333333333333,12446.0
Oby Sorrel,Canada,Peanut Butter Cubes,12425,167,1,74.40119760479043,12425.0
Beverie Moffet,USA,85% Dark Bars,12404,334,1,37.137724550898206,12404.0
Gigi Bohling,UK,85% Dark Bars,12362,94,1,131.51063829787233,12362.0
Dotty Strutley,India,White Choc,12327,330,1,37.35454545454545,12327.0
Gigi Bohling,USA,Choco Coated Almonds,12313,103,1,119.54368932038835,12313.0
Gunar Cockshoot,Australia,50% Dark Bites,12271,116,1,105.78448275862068,12271.0
Madelene Upcott,USA,White Choc,12250,213,1,57.51173708920188,12250.0
Dennison Crosswaite,UK,99% Dark & Pure,12187,27,1,451.3703703703704,12187.0
Kaine Padly,India,70% Dark Bites,12173,301,1,40.44186046511628,12173.0
Jehu Rudeforth,UK,Milk Bars,12068,227,1,53.16299559471366,12068.0
Wilone O'Kielt,India,After Nines,12026,262,1,45.900763358778626,12026.0
Gigi Bohling,Canada,Spicy Special Slims,11956,277,1,43.16245487364621,11956.0
Camilla Castle,India,Peanut Butter Cubes,11837,277,1,42.73285198555957,11837.0
Oby Sorrel,New Zealand,Baker's Choco Chips,11823,47,1,251.5531914893617,11823.0
Ches Bonnell,India,Almond Choco,11788,73,1,161.4794520547945,11788.0
Dennison Crosswaite,USA,Smooth Sliky Salty,11781,91,1,129.46153846153845,11781.0
Dennison Crosswaite,USA,Almond Choco,11718,84,1,139.5,11718.0
Wilone O'Kielt,New Zealand,Mint Chip Choco,11662,242,1,48.1900826446281,11662.0
Husein Augar,USA,After Nines,11571,180,1,64.28333333333333,11571.0
Camilla Castle,New Zealand,Spicy Special Slims,11564,24,1,481.8333333333333,11564.0
Rafaelita Blaksland,Australia,Drinking Coco,11550,396,1,29.166666666666668,11550.0
Dotty Strutley,Canada,Manuka Honey Choco,11550,111,1,104.05405405405405,11550.0
Oby Sorrel,Australia,Spicy Special Slims,11389,26,1,438.03846153846155,11389.0
Marney O'Breen,UK,Orange Choco,11319,12,1,943.25,11319.0
Ches Bonnell,India,50% Dark Bites,11298,313,1,36.09584664536741,11298.0
Jan Morforth,India,Smooth Sliky Salty,11298,89,1,126.9438202247191,11298.0
Marney O'Breen,Australia,Choco Coated Almonds,11298,41,1,275.5609756097561,11298.0
Beverie Moffet,New Zealand,85% Dark Bars,11200,22,1,509.09090909090907,11200.0
Oby Sorrel,India,Spicy Special Slims,11137,88,1,126.55681818181819,11137.0
Kelci Walkden,Australia,Orange Choco,11116,432,1,25.73148148148148,11116.0
Karlen McCaffrey,USA,Orange Choco,11095,401,1,27.668329177057355,11095.0
Karlen McCaffrey,India,Mint Chip Choco,10990,184,1,59.72826086956522,10990.0
Marney O'Breen,UK,Manuka Honey Choco,10983,179,1,61.357541899441344,10983.0
Gigi Bohling,New Zealand,Fruit & Nut Bars,10976,121,1,90.7107438016529,10976.0
Barr Faughny,Canada,Baker's Choco Chips,10969,170,1,64.52352941176471,10969.0
Curtice Advani,UK,Fruit & Nut Bars,10927,136,1,80.34558823529412,10927.0
Madelene Upcott,Canada,70% Dark Bites,10927,141,1,77.49645390070921,10927.0
Ches Bonnell,India,Spicy Special Slims,10906,94,1,116.02127659574468,10906.0
Dennison Crosswaite,Canada,85% Dark Bars,10885,90,1,120.94444444444444,10885.0
Gigi Bohling,USA,Spicy Special Slims,10829,54,1,200.53703703703704,10829.0
Beverie Moffet,New Zealand,Peanut Butter Cubes,10822,30,1,360.73333333333335,10822.0
Karlen McCaffrey,Australia,99% Dark & Pure,10822,168,1,64.41666666666667,10822.0
Husein Augar,UK,White Choc,10815,145,1,74.58620689655173,10815.0
Dennison Crosswaite,UK,Milk Bars,10808,407,1,26.555282555282556,10808.0
Madelene Upcott,New Zealand,White Choc,10794,51,1,211.64705882352942,10794.0
Madelene Upcott,Australia,Organic Choco Syrup,10794,50,1,215.88,10794.0
Marney O'Breen,India,99% Dark & Pure,10766,157,1,68.5732484076433,10766.0
Dotty Strutley,New Zealand,99% Dark & Pure,10724,203,1,52.827586206896555,10724.0
Van Tuxwell,UK,Almond Choco,10689,204,1,52.39705882352941,10689.0
Roddy Speechley,India,Spicy Special Slims,10647,173,1,61.543352601156066,10647.0
Kelci Walkden,New Zealand,Smooth Sliky Salty,10633,277,1,38.38628158844765,10633.0
Brien Boise,USA,Mint Chip Choco,10577,150,1,70.51333333333334,10577.0
Beverie Moffet,Australia,Smooth Sliky Salty,10507,467,1,22.498929336188436,10507.0
Van Tuxwell,India,Eclairs,10500,106,1,99.05660377358491,10500.0
Jehu Rudeforth,Australia,99% Dark & Pure,10486,198,1,52.95959595959596,10486.0
Madelene Upcott,UK,99% Dark & Pure,10479,45,1,232.86666666666667,10479.0
Dennison Crosswaite,Canada,Choco Coated Almonds,10479,118,1,88.80508474576271,10479.0
Roddy Speechley,USA,50% Dark Bites,10458,316,1,33.09493670886076,10458.0
Mallorie Waber,India,Eclairs,10437,46,1,226.8913043478261,10437.0
Beverie Moffet,Canada,Fruit & Nut Bars,10332,180,1,57.4,10332.0
Beverie Moffet,India,Eclairs,10325,147,1,70.23809523809524,10325.0
Roddy Speechley,India,Peanut Butter Cubes,10283,21,1,489.6666666666667,10283.0
Andria Kimpton,Canada,70% Dark Bites,10262,15,1,684.1333333333333,10262.0
Oby Sorrel,India,99% Dark & Pure,10255,11,1,932.2727272727273,10255.0
Brien Boise,Canada,85% Dark Bars,10241,259,1,39.54054054054054,10241.0
Dotty Strutley,USA,85% Dark Bars,10220,508,1,20.118110236220474,10220.0
Kaine Padly,Canada,Manuka Honey Choco,10213,135,1,75.65185185185184,10213.0
Ches Bonnell,Australia,Peanut Butter Cubes,10199,68,1,149.98529411764707,10199.0
Kaine Padly,UK,Caramel Stuffed Bars,10192,67,1,152.11940298507463,10192.0
Barr Faughny,Canada,50% Dark Bites,10185,303,1,33.613861386138616,10185.0
Karlen McCaffrey,USA,Manuka Honey Choco,10171,67,1,151.80597014925374,10171.0
Madelene Upcott,UK,Choco Coated Almonds,10164,134,1,75.85074626865672,10164.0
Rafaelita Blaksland,UK,50% Dark Bites,10150,68,1,149.26470588235293,10150.0
Madelene Upcott,USA,Almond Choco,10143,24,1,422.625,10143.0
Jehu Rudeforth,India,Almond Choco,10122,100,1,101.22,10122.0
Oby Sorrel,India,Smooth Sliky Salty,10101,108,1,93.52777777777777,10101.0
Dennison Crosswaite,Australia,Milk Bars,10038,286,1,35.0979020979021,10038.0
Wilone O'Kielt,Australia,50% Dark Bites,10031,114,1,87.99122807017544,10031.0
Barr Faughny,New Zealand,After Nines,10024,84,1,119.33333333333333,10024.0
Gigi Bohling,Canada,Almond Choco,9989,49,1,203.85714285714286,9989.0
Camilla Castle,UK,White Choc,9982,187,1,53.37967914438503,9982.0
Husein Augar,India,Raspberry Choco,9954,154,1,64.63636363636364,9954.0
Rafaelita Blaksland,Canada,Drinking Coco,9884,200,1,49.42,9884.0
Kelci Walkden,USA,Organic Choco Syrup,9870,152,1,64.9342105263158,9870.0
Ches Bonnell,Canada,Smooth Sliky Salty,9870,121,1,81.5702479338843,9870.0
Beverie Moffet,India,Manuka Honey Choco,9835,167,1,58.89221556886228,9835.0
Husein Augar,Canada,After Nines,9772,301,1,32.46511627906977,9772.0
Curtice Advani,New Zealand,50% Dark Bites,9765,85,1,114.88235294117646,9765.0
Jan Morforth,UK,Almond Choco,9744,157,1,62.06369426751592,9744.0
Andria Kimpton,Australia,Manuka Honey Choco,9744,377,1,25.846153846153847,9744.0
Van Tuxwell,USA,50% Dark Bites,9737,160,1,60.85625,9737.0
Camilla Castle,Canada,70% Dark Bites,9716,151,1,64.34437086092716,9716.0
Camilla Castle,USA,White Choc,9681,24,1,403.375,9681.0
Ches Bonnell,Australia,Mint Chip Choco,9660,92,1,105.0,9660.0
Van Tuxwell,New Zealand,Baker's Choco Chips,9660,24,1,402.5,9660.0
Oby Sorrel,UK,Smooth Sliky Salty,9625,313,1,30.750798722044728,9625.0
Ches Bonnell,India,Choco Coated Almonds,9625,78,1,123.3974358974359,9625.0
Roddy Speechley,USA,Manuka Honey Choco,9583,315,1,30.42222222222222,9583.0
Jan Morforth,Canada,Caramel Stuffed Bars,9541,114,1,83.69298245614036,9541.0
Husein Augar,USA,99% Dark & Pure,9534,111,1,85.89189189189189,9534.0
Mallorie Waber,Australia,Eclairs,9527,222,1,42.914414414414416,9527.0
Kelci Walkden,UK,Choco Coated Almonds,9506,212,1,44.839622641509436,9506.0
Dennison Crosswaite,New Zealand,White Choc,9492,151,1,62.86092715231788,9492.0
Wilone O'Kielt,USA,Choco Coated Almonds,9457,6,1,1576.1666666666667,9457.0
Mallorie Waber,New Zealand,Manuka Honey Choco,9436,11,1,857.8181818181819,9436.0
Kelci Walkden,USA,White Choc,9422,22,1,428.27272727272725,9422.0
Kelci Walkden,India,Orange Choco,9408,138,1,68.17391304347827,9408.0
Rafaelita Blaksland,UK,Spicy Special Slims,9345,133,1,70.26315789473684,9345.0
Roddy Speechley,Canada,Smooth Sliky Salty,9338,11,1,848.9090909090909,9338.0
Oby Sorrel,UK,Choco Coated Almonds,9324,41,1,227.41463414634146,9324.0
Dotty Strutley,UK,99% Dark & Pure,9310,282,1,33.01418439716312,9310.0
Barr Faughny,USA,Raspberry Choco,9282,101,1,91.9009900990099,9282.0
Beverie Moffet,Canada,White Choc,9275,173,1,53.61271676300578,9275.0
Camilla Castle,India,50% Dark Bites,9275,411,1,22.5669099756691,9275.0
Barr Faughny,Australia,Raspberry Choco,9268,100,1,92.68,9268.0
Madelene Upcott,New Zealand,Raspberry Choco,9226,415,1,22.23132530120482,9226.0
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,9205,419,1,21.968973747016708,9205.0
Wilone O'Kielt,New Zealand,Almond Choco,9198,144,1,63.875,9198.0
Curtice Advani,Australia,Caramel Stuffed Bars,9114,140,1,65.1,9114.0
Dotty Strutley,India,Peanut Butter Cubes,9107,73,1,124.75342465753425,9107.0
Jan Morforth,India,99% Dark & Pure,9100,187,1,48.663101604278076,9100.0
Ches Bonnell,New Zealand,Mint Chip Choco,9058,229,1,39.55458515283843,9058.0
Barr Faughny,USA,Fruit & Nut Bars,9058,46,1,196.91304347826087,9058.0
Andria Kimpton,UK,White Choc,9037,101,1,89.47524752475248,9037.0
Jan Morforth,USA,Peanut Butter Cubes,9037,102,1,88.59803921568627,9037.0
Gigi Bohling,UK,Baker's Choco Chips,9023,409,1,22.061124694376527,9023.0
Camilla Castle,India,85% Dark Bars,9023,51,1,176.92156862745097,9023.0
Kaine Padly,UK,Smooth Sliky Salty,9016,554,1,16.27436823104693,9016.0
Kaine Padly,Australia,50% Dark Bites,8995,78,1,115.32051282051282,8995.0
Oby Sorrel,India,85% Dark Bars,8981,130,1,69.08461538461539,8981.0
Marney O'Breen,New Zealand,Fruit & Nut Bars,8939,4,1,2234.75,8939.0
Dennison Crosswaite,UK,Peanut Butter Cubes,8925,158,1,56.4873417721519,8925.0
Andria Kimpton,USA,85% Dark Bars,8911,82,1,108.67073170731707,8911.0
Roddy Speechley,India,Caramel Stuffed Bars,8911,543,1,16.410681399631677,8911.0
Jan Morforth,Canada,Fruit & Nut Bars,8904,199,1,44.743718592964825,8904.0
Husein Augar,Australia,Orange Choco,8897,188,1,47.32446808510638,8897.0
Madelene Upcott,USA,Eclairs,8883,200,1,44.415,8883.0
Andria Kimpton,New Zealand,Mint Chip Choco,8848,211,1,41.93364928909953,8848.0
Jan Morforth,UK,White Choc,8799,47,1,187.2127659574468,8799.0
Beverie Moffet,Canada,Milk Bars,8799,250,1,35.196,8799.0
Jehu Rudeforth,India,Eclairs,8771,127,1,69.06299212598425,8771.0
Oby Sorrel,Canada,Orange Choco,8757,338,1,25.90828402366864,8757.0
Ches Bonnell,Australia,Caramel Stuffed Bars,8757,162,1,54.05555555555556,8757.0
Beverie Moffet,Canada,Orange Choco,8722,109,1,80.01834862385321,8722.0
Kelci Walkden,Australia,White Choc,8715,168,1,51.875,8715.0
Kaine Padly,Canada,50% Dark Bites,8687,100,1,86.87,8687.0
Beverie Moffet,UK,Spicy Special Slims,8680,252,1,34.44444444444444,8680.0
Oby Sorrel,New Zealand,Smooth Sliky Salty,8673,60,1,144.55,8673.0
Jehu Rudeforth,Australia,Milk Bars,8659,29,1,298.58620689655174,8659.0
Marney O'Breen,New Zealand,Organic Choco Syrup,8624,50,1,172.48,8624.0
Van Tuxwell,Canada,Manuka Honey Choco,8617,46,1,187.32608695652175,8617.0
Marney O'Breen,New Zealand,70% Dark Bites,8603,352,1,24.44034090909091,8603.0
Jehu Rudeforth,UK,Fruit & Nut Bars,8589,229,1,37.506550218340614,8589.0
Brien Boise,Australia,Fruit & Nut Bars,8575,23,1,372.82608695652175,8575.0
Rafaelita Blaksland,USA,Drinking Coco,8526,73,1,116.79452054794521,8526.0
Madelene Upcott,UK,Fruit & Nut Bars,8512,189,1,45.03703703703704,8512.0
Barr Faughny,Australia,85% Dark Bars,8498,44,1,193.13636363636363,8498.0
Dennison Crosswaite,Canada,Organic Choco Syrup,8491,75,1,113.21333333333334,8491.0
Marney O'Breen,New Zealand,Smooth Sliky Salty,8484,57,1,148.8421052631579,8484.0
Marney O'Breen,USA,Baker's Choco Chips,8470,9,1,941.1111111111111,8470.0
Beverie Moffet,UK,Eclairs,8463,155,1,54.6,8463.0
Dennison Crosswaite,India,Organic Choco Syrup,8428,216,1,39.01851851851852,8428.0
Mallorie Waber,Australia,Raspberry Choco,8400,27,1,311.1111111111111,8400.0
Andria Kimpton,USA,Caramel Stuffed Bars,8393,46,1,182.45652173913044,8393.0
Mallorie Waber,UK,Manuka Honey Choco,8379,43,1,194.86046511627907,8379.0
Marney O'Breen,New Zealand,Peanut Butter Cubes,8379,173,1,48.433526011560694,8379.0
Roddy Speechley,India,50% Dark Bites,8337,12,1,694.75,8337.0
Husein Augar,UK,Almond Choco,8309,166,1,50.05421686746988,8309.0
Ches Bonnell,New Zealand,Drinking Coco,8302,131,1,63.37404580152672,8302.0
Gigi Bohling,New Zealand,Manuka Honey Choco,8267,272,1,30.393382352941178,8267.0
Dotty Strutley,Australia,Spicy Special Slims,8225,91,1,90.38461538461539,8225.0
Andria Kimpton,Canada,Organic Choco Syrup,8204,204,1,40.21568627450981,8204.0
Gigi Bohling,New Zealand,Orange Choco,8204,307,1,26.72312703583062,8204.0
Gigi Bohling,UK,50% Dark Bites,8197,69,1,118.79710144927536,8197.0
Barr Faughny,India,After Nines,8190,109,1,75.13761467889908,8190.0
Kelci Walkden,India,Raspberry Choco,8183,254,1,32.21653543307087,8183.0
Andria Kimpton,New Zealand,Orange Choco,8169,88,1,92.82954545454545,8169.0
Curtice Advani,India,Mint Chip Choco,8155,96,1,84.94791666666667,8155.0
Roddy Speechley,Canada,Orange Choco,8148,85,1,95.85882352941177,8148.0
Barr Faughny,New Zealand,99% Dark & Pure,8134,195,1,41.712820512820514,8134.0
Marney O'Breen,UK,99% Dark & Pure,8113,194,1,41.81958762886598,8113.0
Barr Faughny,Australia,White Choc,8113,370,1,21.927027027027027,8113.0
Brien Boise,Canada,Spicy Special Slims,8106,101,1,80.25742574257426,8106.0
Kelci Walkden,Canada,Smooth Sliky Salty,8099,118,1,68.63559322033899,8099.0
Jan Morforth,India,Peanut Butter Cubes,8092,178,1,45.46067415730337,8092.0
Rafaelita Blaksland,India,Spicy Special Slims,8064,134,1,60.17910447761194,8064.0
Ches Bonnell,India,Smooth Sliky Salty,8043,18,1,446.8333333333333,8043.0
Gigi Bohling,UK,After Nines,8029,175,1,45.88,8029.0
Kaine Padly,UK,Choco Coated Almonds,8022,123,1,65.21951219512195,8022.0
Roddy Speechley,New Zealand,After Nines,8001,10,1,800.1,8001.0
Oby Sorrel,USA,Baker's Choco Chips,8001,120,1,66.675,8001.0
Gigi Bohling,Australia,Caramel Stuffed Bars,8001,151,1,52.98675496688742,8001.0
Oby Sorrel,UK,Organic Choco Syrup,7980,157,1,50.82802547770701,7980.0
Husein Augar,Australia,Fruit & Nut Bars,7959,53,1,150.16981132075472,7959.0
Curtice Advani,New Zealand,After Nines,7959,30,1,265.3,7959.0
Gunar Cockshoot,Australia,99% Dark & Pure,7952,235,1,33.838297872340426,7952.0
Andria Kimpton,UK,Caramel Stuffed Bars,7924,275,1,28.814545454545456,7924.0
Kelci Walkden,Australia,Milk Bars,7910,125,1,63.28,7910.0
Van Tuxwell,Australia,Milk Bars,7910,87,1,90.91954022988506,7910.0
Van Tuxwell,India,85% Dark Bars,7896,94,1,84.0,7896.0
Mallorie Waber,Australia,Almond Choco,7882,125,1,63.056,7882.0
Karlen McCaffrey,UK,Eclairs,7798,196,1,39.785714285714285,7798.0
Marney O'Breen,USA,Almond Choco,7798,167,1,46.69461077844311,7798.0
Camilla Castle,Canada,Orange Choco,7770,54,1,143.88888888888889,7770.0
Madelene Upcott,UK,Peanut Butter Cubes,7756,85,1,91.24705882352941,7756.0
Gunar Cockshoot,Canada,Mint Chip Choco,7756,410,1,18.917073170731708,7756.0
Madelene Upcott,USA,Orange Choco,7742,138,1,56.10144927536232,7742.0
Kaine Padly,New Zealand,Spicy Special Slims,7728,37,1,208.86486486486487,7728.0
Ches Bonnell,USA,Organic Choco Syrup,7721,14,1,551.5,7721.0
Karlen McCaffrey,Canada,70% Dark Bites,7714,597,1,12.921273031825796,7714.0
Oby Sorrel,USA,Drinking Coco,7714,44,1,175.3181818181818,7714.0
Kelci Walkden,USA,99% Dark & Pure,7714,238,1,32.411764705882355,7714.0
Mallorie Waber,New Zealand,85% Dark Bars,7714,106,1,72.77358490566037,7714.0
Oby Sorrel,Australia,Milk Bars,7672,254,1,30.20472440944882,7672.0
Kaine Padly,Australia,Eclairs,7672,115,1,66.71304347826087,7672.0
Kaine Padly,USA,Eclairs,7623,10,1,762.3,7623.0
Ches Bonnell,New Zealand,Organic Choco Syrup,7623,85,1,89.68235294117648,7623.0
Kelci Walkden,New Zealand,White Choc,7609,150,1,50.72666666666667,7609.0
Barr Faughny,Canada,Orange Choco,7602,18,1,422.3333333333333,7602.0
Madelene Upcott,Canada,Almond Choco,7602,102,1,74.52941176470588,7602.0
Marney O'Breen,USA,Orange Choco,7595,181,1,41.96132596685083,7595.0
Ches Bonnell,New Zealand,Caramel Stuffed Bars,7588,42,1,180.66666666666666,7588.0
Gunar Cockshoot,Canada,White Choc,7560,15,1,504.0,7560.0
Kelci Walkden,India,Drinking Coco,7532,234,1,32.18803418803419,7532.0
Kelci Walkden,Canada,Peanut Butter Cubes,7532,44,1,171.1818181818182,7532.0
Madelene Upcott,Canada,85% Dark Bars,7504,101,1,74.29702970297029,7504.0
Marney O'Breen,New Zealand,Milk Bars,7490,315,1,23.77777777777778,7490.0
Ches Bonnell,Australia,Smooth Sliky Salty,7490,54,1,138.7037037037037,7490.0
Roddy Speechley,New Zealand,99% Dark & Pure,7483,183,1,40.89071038251366,7483.0
Karlen McCaffrey,India,White Choc,7483,232,1,32.25431034482759,7483.0
Ches Bonnell,Canada,Baker's Choco Chips,7462,371,1,20.11320754716981,7462.0
Kaine Padly,Australia,Fruit & Nut Bars,7434,85,1,87.45882352941176,7434.0
Barr Faughny,USA,White Choc,7420,163,1,45.52147239263804,7420.0
Madelene Upcott,New Zealand,Mint Chip Choco,7413,4,1,1853.25,7413.0
Barr Faughny,India,Mint Chip Choco,7413,465,1,15.941935483870967,7413.0
Camilla Castle,Australia,Smooth Sliky Salty,7406,118,1,62.76271186440678,7406.0
Gigi Bohling,USA,70% Dark Bites,7364,196,1,37.57142857142857,7364.0
Madelene Upcott,UK,Raspberry Choco,7357,341,1,21.574780058651026,7357.0
Karlen McCaffrey,Australia,White Choc,7357,48,1,153.27083333333334,7357.0
Madelene Upcott,Australia,50% Dark Bites,7350,6,1,1225.0,7350.0
Oby Sorrel,UK,Orange Choco,7315,237,1,30.864978902953588,7315.0
Karlen McCaffrey,Australia,Almond Choco,7294,128,1,56.984375,7294.0
Dennison Crosswaite,Australia,50% Dark Bites,7287,12,1,607.25,7287.0
Kelci Walkden,Australia,Eclairs,7273,547,1,13.296160877513712,7273.0
Gigi Bohling,Australia,Eclairs,7252,136,1,53.3235294117647,7252.0
Dennison Crosswaite,UK,White Choc,7238,265,1,27.31320754716981,7238.0
Brien Boise,New Zealand,70% Dark Bites,7231,130,1,55.62307692307692,7231.0
Kaine Padly,New Zealand,70% Dark Bites,7231,38,1,190.28947368421052,7231.0
