Sales_Person,Country,Total_Revenue,Transaction_Count,Revenue_Per_Transaction
Ches Bonnell,UK,51772,9,5752.444444444444
Kelci Walkden,UK,45983,8,5747.875
Curtice Advani,USA,28735,5,5747.0
Barr Faughny,Canada,45927,8,5740.875
Jan Morforth,New Zealand,22953,4,5738.25
Ches Bonnell,Australia,45871,8,5733.875
Jan Morforth,India,67956,12,5663.0
Gunar Cockshoot,India,39368,7,5624.0
Kelci Walkden,New Zealand,39172,7,5596.0
Barr Faughny,New Zealand,61145,11,5558.636363636364
Dotty Strutley,USA,44303,8,5537.875
Husein Augar,Canada,21980,4,5495.0
Brien Boise,Australia,60417,11,5492.454545454545
Andria Kimpton,New Zealand,32844,6,5474.0
Mallorie Waber,UK,27251,5,5450.2
Van Tuxwell,USA,32536,6,5422.666666666667
Roddy Speechley,Canada,48552,9,5394.666666666667
Oby Sorrel,Australia,37709,7,5387.0
Dotty Strutley,Canada,16149,3,5383.0
Oby Sorrel,USA,37499,7,5357.0
Curtice Advani,New Zealand,31955,6,5325.833333333333
Madelene Upcott,Australia,58359,11,5305.363636363636
Husein Augar,India,37079,7,5297.0
Oby Sorrel,Canada,42364,8,5295.5
Ches Bonnell,New Zealand,47600,9,5288.888888888889
Curtice Advani,India,47579,9,5286.555555555556
Wilone O'Kielt,New Zealand,42000,8,5250.0
Van Tuxwell,Canada,51870,10,5187.0
Gunar Cockshoot,Australia,35987,7,5141.0
Dotty Strutley,India,25690,5,5138.0
Kaine Padly,Canada,45934,9,5103.777777777777
Marney O'Breen,USA,40593,8,5074.125
Van Tuxwell,UK,45514,9,5057.111111111111
Rafaelita Blaksland,Australia,40439,8,5054.875
Rafaelita Blaksland,Canada,25102,5,5020.4
Beverie Moffet,New Zealand,45150,9,5016.666666666667
Roddy Speechley,USA,40103,8,5012.875
Karlen McCaffrey,Australia,40096,8,5012.0
Dennison Crosswaite,New Zealand,30058,6,5009.666666666667
Dennison Crosswaite,India,39641,8,4955.125
Marney O'Breen,India,34685,7,4955.0
Kaine Padly,USA,44555,9,4950.555555555556
Beverie Moffet,UK,39522,8,4940.25
Dennison Crosswaite,Canada,38983,8,4872.875
Curtice Advani,UK,34055,7,4865.0
Mallorie Waber,New Zealand,33705,7,4815.0
Jan Morforth,USA,14399,3,4799.666666666667
Wilone O'Kielt,India,23996,5,4799.2
Gunar Cockshoot,UK,38318,8,4789.75
Roddy Speechley,New Zealand,38171,8,4771.375
Jehu Rudeforth,USA,23268,5,4653.6
Brien Boise,New Zealand,41685,9,4631.666666666667
Karlen McCaffrey,India,41111,9,4567.888888888889
Camilla Castle,Australia,31934,7,4562.0
Andria Kimpton,India,27146,6,4524.333333333333
Brien Boise,UK,31591,7,4513.0
Jan Morforth,UK,35973,8,4496.625
Gunar Cockshoot,USA,30954,7,4422.0
Jehu Rudeforth,India,26432,6,4405.333333333333
Andria Kimpton,Canada,39298,9,4366.444444444444
Van Tuxwell,New Zealand,30394,7,4342.0
Andria Kimpton,Australia,30170,7,4310.0
Gigi Bohling,Australia,38731,9,4303.444444444444
Husein Augar,USA,29680,7,4240.0
Wilone O'Kielt,Canada,8428,2,4214.0
Gigi Bohling,USA,41594,10,4159.4
Beverie Moffet,India,41363,10,4136.3
Madelene Upcott,India,16338,4,4084.5
Mallorie Waber,USA,24269,6,4044.8333333333335
Kelci Walkden,India,48160,12,4013.3333333333335
Wilone O'Kielt,USA,27937,7,3991.0
Curtice Advani,Canada,39767,10,3976.7
Jehu Rudeforth,Canada,27020,7,3860.0
Dotty Strutley,Australia,38234,10,3823.4
Curtice Advani,Australia,34370,9,3818.8888888888887
Jehu Rudeforth,New Zealand,17752,5,3550.4
Mallorie Waber,India,17192,5,3438.4
Beverie Moffet,Australia,27426,8,3428.25
Gigi Bohling,India,16905,5,3381.0
Karlen McCaffrey,Canada,33173,10,3317.3
Marney O'Breen,Canada,19292,6,3215.3333333333335
Karlen McCaffrey,New Zealand,24850,8,3106.25
Wilone O'Kielt,Australia,27615,9,3068.3333333333335
Barr Faughny,UK,15302,5,3060.4
Mallorie Waber,Canada,27041,9,3004.5555555555557
Husein Augar,New Zealand,8988,3,2996.0
Wilone O'Kielt,UK,8547,3,2849.0
