Sales_Person,Country,Sales_Person_Revenue,Country_Revenue,Sales_Person_Contri
Kelci Walkden,New Zealand,39172,950418,4.121554936880404
Barr Faughny,Australia,46536,1137367,4.0915553203143755
Andria Kimpton,Canada,39298,962899,4.081217240852883
Dennison Crosswaite,Canada,38983,962899,4.048503529445975
Ches Bonnell,Australia,45871,1137367,4.033086945550557
Gigi Bohling,USA,41594,1035349,4.017389305441933
Roddy Speechley,New Zealand,38171,950418,4.016232857542681
Beverie Moffet,India,41363,1045800,3.9551539491298526
Karlen McCaffrey,India,41111,1045800,3.931057563587684
Marney O'Breen,USA,40593,1035349,3.9207069307064573
Roddy Speechley,USA,40103,1035349,3.873379894122658
Dennison Crosswaite,India,39641,1045800,3.7904953145917
Gunar Cockshoot,India,39368,1045800,3.7643908969210176
Beverie Moffet,UK,39522,1051792,3.7575870514322225
Gunar Cockshoot,UK,38318,1051792,3.6431157491214994
Oby Sorrel,USA,37499,1035349,3.621870499705896
Rafaelita Blaksland,UK,38024,1051792,3.6151634543712063
Rafaelita Blaksland,Australia,40439,1137367,3.5554926422166284
Mallorie Waber,New Zealand,33705,950418,3.546334349728225
Husein Augar,India,37079,1045800,3.5455153949129854
Karlen McCaffrey,Australia,40096,1137367,3.5253352699700273
Ches Bonnell,USA,36239,1035349,3.5001724056332697
Andria Kimpton,UK,36659,1051792,3.485384943030561
Andria Kimpton,New Zealand,32844,950418,3.4557426311370367
Karlen McCaffrey,Canada,33173,962899,3.445117296829678
Andria Kimpton,USA,35630,1035349,3.4413516601648335
Jan Morforth,UK,35973,1051792,3.4201629219465444
Gigi Bohling,Australia,38731,1137367,3.405321237560084
Curtice Advani,New Zealand,31955,950418,3.3622048403965414
Dotty Strutley,Australia,38234,1137367,3.361623820631335
Dotty Strutley,UK,34902,1051792,3.318336705356192
Marney O'Breen,India,34685,1045800,3.316599732262383
Oby Sorrel,Australia,37709,1137367,3.315464577396742
Dotty Strutley,New Zealand,31346,950418,3.2981277711491153
Rafaelita Blaksland,USA,33754,1035349,3.2601567201011448
Curtice Advani,UK,34055,1051792,3.237807475242253
Roddy Speechley,UK,33775,1051792,3.211186242146736
Van Tuxwell,New Zealand,30394,950418,3.1979613180726796
Rafaelita Blaksland,India,33327,1045800,3.1867469879518073
Gunar Cockshoot,Australia,35987,1137367,3.1640622595872747
Dennison Crosswaite,New Zealand,30058,950418,3.1626084522809963
Van Tuxwell,USA,32536,1035349,3.142515229164272
Camilla Castle,Canada,29967,962899,3.1121644118438176
Jan Morforth,Canada,29918,962899,3.1070756122916316
Curtice Advani,Australia,34370,1137367,3.0218917904247267
Brien Boise,UK,31591,1051792,3.0035406240017037
Gunar Cockshoot,USA,30954,1035349,2.989716511050863
Barr Faughny,India,30842,1045800,2.9491298527443104
Camilla Castle,India,30807,1045800,2.9457831325301207
Kaine Padly,New Zealand,27860,950418,2.931341788560402
Husein Augar,USA,29680,1035349,2.8666662159329848
Mallorie Waber,Canada,27041,962899,2.808290381441875
Camilla Castle,Australia,31934,1137367,2.8077129018162124
Jehu Rudeforth,Canada,27020,962899,2.8061094673480813
Roddy Speechley,Australia,31675,1137367,2.784941008487146
Curtice Advani,USA,28735,1035349,2.7753926453785147
Wilone O'Kielt,USA,27937,1035349,2.698317185799185
Andria Kimpton,Australia,30170,1137367,2.652617844547978
Karlen McCaffrey,New Zealand,24850,950418,2.6146390325099063
Rafaelita Blaksland,Canada,25102,962899,2.6069193134482433
Andria Kimpton,India,27146,1045800,2.5957161981258365
Mallorie Waber,UK,27251,1051792,2.5909115110211904
Jehu Rudeforth,India,26432,1045800,2.5274431057563587
Dotty Strutley,India,25690,1045800,2.4564926372155287
Wilone O'Kielt,Australia,27615,1137367,2.4279761941396223
Jan Morforth,New Zealand,22953,950418,2.415042644394361
Beverie Moffet,Australia,27426,1137367,2.411358866575169
Mallorie Waber,USA,24269,1035349,2.344040511943316
Wilone O'Kielt,India,23996,1045800,2.2945113788487284
Husein Augar,Canada,21980,962899,2.2826900848375584
Jehu Rudeforth,USA,23268,1035349,2.24735813720784
Karlen McCaffrey,UK,23037,1051792,2.19026195293366
Marney O'Breen,Canada,19292,962899,2.003533080831946
Kaine Padly,India,20692,1045800,1.9785809906291834
Camilla Castle,UK,19831,1051792,1.8854488339899904
Jehu Rudeforth,New Zealand,17752,950418,1.8678097426605977
Dotty Strutley,Canada,16149,962899,1.6771229381274673
Mallorie Waber,India,17192,1045800,1.643908969210174
Gigi Bohling,India,16905,1045800,1.6164658634538152
Madelene Upcott,India,16338,1045800,1.5622489959839359
Barr Faughny,UK,15302,1051792,1.4548503886700033
Jan Morforth,USA,14399,1035349,1.3907387750410731
Husein Augar,New Zealand,8988,950418,0.9456891599275267
Wilone O'Kielt,Canada,8428,962899,0.87527352297593
Wilone O'Kielt,UK,8547,1051792,0.8126131402406559
